"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","2007_19","2008_20","2009_21","2010_22","2011_23","2012_24","2013_25","2014_26","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"集計事業所数_製造業","","213.0","204.0","205.0","216.0","206.0","196.0","207.0","210.0","222.0","223.0","202.0","216.0","200.0","206.0","209.0","221.0","220.0","210.0","241.0","247.0","249.0","218.0","","","","","","","","","","","","","",""
"集計事業所数_卸売・小売、飲食店","","212.0","226.0","221.0","210.0","217.0","227.0","210.0","205.0","199.0","205.0","221.0","204.0","221.0","218.0","193.0","191.0","196.0","210.0","192.0","175.0","173.0","195.0","","","","","","","","","","","","","",""
"集計事業所数_小売業","","146.0","141.0","137.0","136.0","143.0","137.0","131.0","132.0","120.0","138.0","145.0","127.0","135.0","136.0","118.0","118.0","117.0","124.0","125.0","113.0","107.0","127.0","","","","","","","","","","","","","",""
"集計事業所数_卸売・小売業","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"集計事業所数_飲食店、宿泊業","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"集計事業所数_サービス業（宿泊業含む）","","102.0","115.0","109.0","110.0","113.0","113.0","116.0","116.0","115.0","106.0","108.0","113.0","112.0","111.0","122.0","123.0","119.0","113.0","100.0","114.0","113.0","120.0","","","","","","","","","","","","","",""
"集計事業所数_サービス業","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"　売上高（１企業当たり）_製造業","千円","19674.0","21838.0","18316.0","18282.0","18487.0","20431.0","22540.0","21927.0","21046.0","18760.0","23905.0","24970.0","23028.0","23706.0","19323.0","16112.0","15789.0","17253.0","16501.0","12678.0","13295.0","11117.0","14931.0","17698.0","16798.0","12474.0","13998.0","15388.0","15101.0","13679.0","10164.0","14977.0","11286.0","13086.0","13188.0",""
"　売上高（１企業当たり）_卸売・小売・飲食店","千円","21515.0","22219.0","24824.0","25273.0","23356.0","23571.0","22160.0","22274.0","25542.0","20766.0","22755.0","28899.0","27371.0","24989.0","23830.0","23449.0","23357.0","22654.0","19912.0","19321.0","20767.0","16892.0","19365.0","","","","","","","","","","","","",""
"　売上高（１企業当たり）_小売業","千円","22220.0","22040.0","22233.0","23357.0","23249.0","24475.0","20862.0","21805.0","25245.0","21454.0","23613.0","25966.0","24765.0","23940.0","24676.0","24488.0","25135.0","22191.0","20203.0","20331.0","22411.0","18080.0","","","","","","","","","","","","","",""
