"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","2007_19","2008_20","2009_21","2010_22","2011_23","2012_24","2013_25","2014_26","有効数字(少数桁)"
"　売上高（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","24025.0","25250.0","23605.0","22873.0","21257.0","21090.0","20541.0","23596.0","18946.0","19111.0","19508.0","16807.0",""
"　売上高（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","8548.0","9171.0","8391.0","8947.0","8544.0","9972.0","7982.0","8101.0","6985.0","8455.0","7286.0","7314.0",""
"　売上高（１企業当たり）_サービス業（宿泊業含む）","千円","7560.0","7507.0","7145.0","7272.0","7897.0","7900.0","7870.0","8179.0","7596.0","8446.0","8833.0","10474.0","8572.0","9852.0","9188.0","10270.0","8334.0","8661.0","7610.0","7631.0","7698.0","7046.0","8645.0","","","","","","","","","","","","",""
"　売上高（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","8406.0","6926.0","7458.0","7211.0","7848.0","7662.0","7357.0","5880.0","5270.0","6118.0","5740.0","7424.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"売上原価（１企業当たり）_製造業","千円","7816.0","8130.0","6856.0","6983.0","7172.0","7222.0","8413.0","8095.0","7216.0","5812.0","9040.0","8191.0","7851.0","7728.0","6533.0","4793.0","4479.0","5047.0","5204.0","3283.0","3737.0","3527.0","5216.0","5216.0","6584.0","3620.0","4845.0","6147.0","5323.0","5278.0","3504.0","5392.0","4109.0","5091.0","4683.0",""
"売上原価（１企業当たり）_卸売・小売・飲食店","千円","14479.0","15107.0","17103.0","17365.0","16242.0","15941.0","15346.0","15575.0","17480.0","13447.0","15000.0","19759.0","18566.0","16622.0","15661.0","15034.0","15537.0","14445.0","12808.0","12239.0","13313.0","11115.0","12904.0","","","","","","","","","","","","",""
"売上原価（１企業当たり）_小売業","千円","15473.0","15540.0","15667.0","16458.0","16822.0","17074.0","14704.0","15557.0","18111.0","14483.0","16266.0","17862.0","16687.0","16334.0","16650.0","16670.0","17690.0","14660.0","13439.0","13008.0","15023.0","12277.0","","","","","","","","","","","","","",""
"売上原価（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","12904.0","17697.0","16502.0","16034.0","14790.0","14131.0","14314.0","16751.0","13320.0","12957.0","13589.0","11694.0",""
"売上原価（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","3356.0","3379.0","3572.0","3763.0","3629.0","4165.0","3809.0","3421.0","3019.0","3509.0","3052.0","3228.0",""
"売上原価（１企業当たり）_サービス業（宿泊業含む）","千円","1685.0","1391.0","1304.0","1184.0","1309.0","1131.0","1371.0","1609.0","1736.0","1897.0","1424.0","2093.0","1342.0","2127.0","1651.0","1824.0","1444.0","1420.0","1376.0","1641.0","1399.0","1260.0","1689.0","","","","","","","","","","","","",""
"売上原価（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","1457.0","1074.0","1580.0","1264.0","1263.0","1581.0","1737.0","1296.0","1013.0","1222.0","929.0","2024.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"売上総利益（１企業当たり）_製造業","千円","11858.0","13707.0","11460.0","11299.0","11314.0","13209.0","14126.0","13832.0","13829.0","12948.0","14865.0","16780.0","15177.0","15978.0","12791.0","11319.0","11310.0","12206.0","11297.0","9395.0","9558.0","7590.0","9714.0","12217.0","10214.0","8855.0","9152.0","9241.0","9778.0","8401.0","6660.0","9585.0","7177.0","7995.0","8505.0",""
"売上総利益（１企業当たり）_卸売・小売・飲食店","千円","7036.0","7111.0","7720.0","7908.0","7115.0","7630.0","6814.0","6689.0","8061.0","7338.0","7755.0","9140.0","8785.0","8367.0","8169.0","8415.0","7820.0","8209.0","7105.0","7082.0","7455.0","5776.0","6462.0","","","","","","","","","","","","",""
"売上総利益（１企業当たり）_小売業","千円","6747.0","6500.0","6566.0","6900.0","6427.0","7401.0","6158.0","6249.0","7134.0","6971.0","7347.0","8104.0","8078.0","7606.0","8026.0","7818.0","7444.0","7531.0","6764.0","7323.0","7387.0","5803.0","","","","","","","","","","","","","",""
"売上総利益（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","7925.0","7552.0","7102.0","6839.0","6467.0","6958.0","6227.0","6844.0","5626.0","6154.0","5919.0","5113.0",""
"売上総利益（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","5192.0","5392.0","4819.0","5183.0","4915.0","5807.0","4174.0","4680.0","3966.0","4946.0","4234.0","4086.0",""
"売上総利益（１企業当たり）_サービス業（宿泊業含む）","千円","5875.0","6116.0","5840.0","6089.0","6588.0","6769.0","6500.0","6570.0","6135.0","6549.0","7408.0","8380.0","7229.0","7725.0","7537.0","8446.0","6890.0","7241.0","6233.0","5990.0","6299.0","5786.0","6956.0","","","","","","","","","","","","",""
"売上総利益（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","6950.0","5851.0","5878.0","5946.0","6585.0","6081.0","5620.0","4584.0","4257.0","4896.0","4811.0","5400.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"営業費（１企業当たり）_製造業","千円","7475.0","8785.0","6953.0","6537.0","6839.0","8016.0","8953.0","8724.0","8376.0","7377.0","8880.0","10045.0","8707.0","9843.0","7436.0","6401.0","6110.0","7312.0","6813.0","5740.0","5797.0","4415.0","7122.0","8336.0","7584.0","5806.0","6269.0","6559.0","6729.0","6346.0","4991.0","7012.0","4797.0","5528.0","5892.0",""
"営業費（１企業当たり）_卸売・小売・飲食店","千円","3479.0","3515.0","3909.0","3828.0","3438.0","3721.0","3415.0","3251.0","4066.0","3487.0","3874.0","4700.0","4389.0","4231.0","4297.0","4311.0","4288.0","4188.0","3915.0","3917.0","4084.0","3230.0","4220.0","","","","","","","","","","","","",""
"営業費（１企業当たり）_小売業","千円","3163.0","2991.0","2901.0","3147.0","2788.0","3362.0","2716.0","2749.0","3325.0","3236.0","3469.0","3965.0","3750.0","3612.0","3659.0","3789.0","3946.0","3643.0","3462.0","3745.0","3856.0","2920.0","","","","","","","","","","","","","",""
"営業費（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","5293.0","5004.0","4458.0","4563.0","4223.0","4641.0","4347.0","4774.0","4063.0","4501.0","4595.0","3865.0",""
"営業費（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","3756.0","3762.0","3291.0","3996.0","3438.0","4322.0","3260.0","3944.0","3019.0","3644.0","3211.0","3184.0",""
"営業費（１企業当たり）_サービス業（宿泊業含む）","千円","2960.0","3231.0","2831.0","3250.0","3663.0","3369.0","3392.0","3256.0","3034.0","3082.0","3511.0","4458.0","3430.0","4186.0","3782.0","4175.0","3159.0","3427.0","3162.0","3079.0","3296.0","2728.0","4438.0","","","","","","","","","","","","",""
"営業費（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","4412.0","3714.0","3790.0","3791.0","4423.0","4220.0","3704.0","2912.0","2715.0","3230.0","3237.0","3714.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"営業利益（１企業当たり）_製造業","千円","4383.0","4922.0","4508.0","4762.0","4475.0","5193.0","5173.0","5108.0","5453.0","5570.0","5986.0","6735.0","6470.0","6135.0","5355.0","4918.0","5201.0","4894.0","4483.0","3655.0","3760.0","3175.0","2592.0","3881.0","2630.0","3049.0","2883.0","2682.0","3049.0","2055.0","1668.0","2573.0","2380.0","2467.0","2613.0",""
"営業利益（１企業当たり）_卸売・小売。飲食店","千円","3557.0","3596.0","3812.0","4079.0","3676.0","3909.0","3398.0","3448.0","3975.0","3852.0","3881.0","4440.0","4396.0","4136.0","3872.0","4103.0","3532.0","4021.0","3190.0","3164.0","3370.0","2547.0","2241.0","","","","","","","","","","","","",""
"営業利益（１企業当たり）_小売業","千円","3584.0","3509.0","3665.0","3753.0","3639.0","4039.0","3443.0","3500.0","3808.0","3735.0","3878.0","4138.0","4329.0","3993.0","4367.0","4029.0","3498.0","3888.0","3302.0","3578.0","3532.0","2883.0","","","","","","","","","","","","","",""
"営業利益（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","2632.0","2549.0","2645.0","2276.0","2243.0","2317.0","1881.0","2070.0","1563.0","1652.0","1324.0","1248.0",""
"営業利益（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","1436.0","1630.0","1528.0","1187.0","1477.0","1485.0","914.0","736.0","947.0","1302.0","1023.0","902.0",""
"営業利益（１企業当たり）_サービス業（宿泊業含む）","千円","2914.0","2886.0","3009.0","2839.0","2926.0","3401.0","3107.0","3314.0","3102.0","3467.0","3897.0","3922.0","3799.0","3539.0","3755.0","4271.0","3731.0","3814.0","3071.0","2911.0","3002.0","3058.0","2518.0","","","","","","","","","","","","",""
"営業利益（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","2537.0","2138.0","2088.0","2156.0","2162.0","1861.0","1916.0","1672.0","1541.0","1666.0","1573.0","1686.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"設備投資（１企業当たり）_製造業","千円","470.0","652.0","763.0","456.0","472.0","583.0","774.0","1173.0","772.0","575.0","696.0","975.0","470.0","317.0","287.0","411.0","927.0","471.0","492.0","271.0","310.0","161.0","834.0","1630.0","694.0","489.0","774.0","195.0","596.0","230.0","249.0","209.0","246.0","335.0","322.0",""
"設備投資（１企業当たり）_卸売・小売・飲食店","千円","228.0","259.0","426.0","556.0","274.0","264.0","254.0","244.0","593.0","126.0","423.0","231.0","364.0","458.0","122.0","290.0","150.0","313.0","239.0","188.0","130.0","185.0","623.0","","","","","","","","","","","","",""
"設備投資（１企業当たり）_小売業","千円","282.0","183.0","402.0","302.0","206.0","224.0","317.0","222.0","260.0","148.0","518.0","339.0","299.0","526.0","128.0","186.0","147.0","383.0","291.0","102.0","117.0","47.0","","","","","","","","","","","","","",""
"設備投資（１企業当たり）_卸売・小売業","千円","","","","","","","","","","","","","","","","","","","","","","","","367.0","631.0","333.0","165.0","407.0","203.0","290.0","222.0","244.0","278.0","368.0","230.0",""
"設備投資（１企業当たり）_飲食店、宿泊業","千円","","","","","","","","","","","","","","","","","","","","","","","","948.0","1027.0","145.0","312.0","289.0","201.0","203.0","237.0","238.0","117.0","45.0","139.0",""
"設備投資（１企業当たり）_サービス業（宿泊業含む）","千円","294.0","173.0","273.0","285.0","504.0","205.0","280.0","306.0","382.0","135.0","528.0","318.0","358.0","253.0","343.0","342.0","711.0","427.0","72.0","563.0","549.0","114.0","459.0","","","","","","","","","","","","",""
"設備投資（１企業当たり）_サービス業","千円","","","","","","","","","","","","","","","","","","","","","","","","533.0","352.0","246.0","721.0","413.0","307.0","223.0","127.0","98.0","241.0","359.0","294.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"従業者数（１企業当たり）_製造業","人","3.42","3.65","3.32","3.26","3.13","3.3","3.42","3.43","3.35","3.24","3.3","3.43","3.24","3.23","2.79","2.54","2.6","2.81","2.56","2.43","2.41","2.25","2.99","3.26","3.05","2.98","3.26","3.01","3.02","2.91","2.91","2.97","2.43","2.55","2.66","2.0"
"従業者数（１企業当たり）_卸売・小売・飲食店","人","2.77","2.76","2.84","2.78","2.81","2.81","2.64","2.57","2.94","2.68","2.72","2.92","2.69","2.73","2.62","2.68","2.66","2.54","2.54","2.51","2.68","2.38","2.98","","","","","","","","","","","","","2.0"
"従業者数（１企業当たり）_小売業","人","2.66","2.6","2.57","2.59","2.58","2.68","2.39","2.39","2.8","2.59","2.6","2.74","2.56","2.62","2.45","2.51","2.54","2.31","2.52","2.44","2.6","2.36","","","","","","","","","","","","","","2.0"
"従業者数（１企業当たり）_卸売・小売業","人","","","","","","","","","","","","","","","","","","","","","","","","3.51","3.08","2.97","3.22","3.01","2.98","2.96","3.2","2.77","2.93","3.41","2.59","2.0"
"従業者数（１企業当たり）_飲食店、宿泊業","人","","","","","","","","","","","","","","","","","","","","","","","","3.21","2.89","2.77","2.93","3.0","3.36","2.75","2.98","2.62","3.16","2.73","2.78","2.0"
"従業者数（１企業当たり）_サービス業（宿泊業含む）","人","2.43","2.46","2.37","2.45","2.46","2.4","2.43","2.41","2.35","2.2","2.24","2.32","2.19","2.26","2.26","2.27","2.05","2.13","2.07","2.01","2.02","1.99","2.34","","","","","","","","","","","","","2.0"
"従業者数（１企業当たり）_サービス業","人","","","","","","","","","","","","","","","","","","","","","","","","2.66","2.41","2.41","2.23","2.56","2.37","2.21","2.17","2.09","2.14","2.15","2.16","2.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"１年間の営業日数（１企業当たり）_製造業","日","286.4","290.2","286.6","290.2","285.7","289.7","291.9","290.7","292.2","291.6","290.3","287.2","283.8","278.2","280.1","274.8","273.4","273.0","266.5","264.8","264.3","263.8","267.9","270.1","274.5","267.2","268.5","267.3","268.7","263.7","259.9","270.5","256.0","268.5","262.2","1.0"
"１年間の営業日数（１企業当たり）_卸売・小売・飲食店","日","311.2","307.5","308.8","310.9","312.2","310.8","308.4","308.5","310.9","307.7","307.7","303.9","303.5","298.2","300.0","300.3","303.7","300.4","300.3","302.6","304.5","305.6","296.0","","","","","","","","","","","","","1.0"
"１年間の営業日数（１企業当たり）_小売業","日","315.0","311.4","312.2","313.5","315.5","315.6","310.9","309.7","314.5","310.5","310.3","307.6","308.2","300.7","305.1","305.5","310.8","305.2","303.0","306.9","308.5","311.1","","","","","","","","","","","","","","1.0"
"１年間の営業日数（１企業当たり）_卸売・小売業","日","","","","","","","","","","","","","","","","","","","","","","","","303.7","293.8","298.4","291.0","294.3","304.9","300.0","297.9","300.1","292.5","297.6","283.2","1.0"
"１年間の営業日数（１企業当たり）_飲食店、宿泊業","日","","","","","","","","","","","","","","","","","","","","","","","","299.4","296.6","297.1","300.8","301.7","294.5","297.2","300.3","292.1","296.4","290.0","291.3","1.0"
"１年間の営業日数（１企業当たり）_サービス業（宿泊業含む）","日","303.8","304.4","305.3","302.6","304.1","306.8","310.1","310.8","307.3","304.6","308.1","302.7","300.7","298.0","295.3","300.7","289.3","296.8","288.9","296.9","300.8","298.3","277.2","","","","","","","","","","","","","1.0"
"１年間の営業日数（１企業当たり）_サービス業","日","","","","","","","","","","","","","","","","","","","","","","","","284.6","283.5","281.2","277.9","289.8","285.6","287.9","283.3","285.1","284.2","277.3","280.6","1.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"１日の平均営業時間（１企業当たり）_製造業","時間","","","","","","","","","","","","","","","","","","","","","","8.3","8.5","8.5","8.7","8.5","8.5","8.4","8.5","8.0","8.3","8.2","8.2","8.6","7.8","1.0"
"１日の平均営業時間（１企業当たり）_卸売・小売業","時間","","","","","","","","","","","","","","","","","","","","","","10.0","9.8","9.7","10.0","9.9","9.8","9.7","9.9","9.9","9.3","9.4","9.5","9.5","9.2","1.0"
"１日の平均営業時間（１企業当たり）_飲食店、宿泊業","時間","","","","","","","","","","","","","","","","","","","","","","","","9.5","9.3","8.9","9.3","9.5","9.0","9.3","9.1","8.6","8.4","8.9","9.1","1.0"
"１日の平均営業時間（１企業当たり）_サービス業","時間","","","","","","","","","","","","","","","","","","","","","","11.3","10.1","9.2","9.2","8.9","8.9","9.4","9.2","9.1","8.8","9.2","9.1","8.7","8.9","1.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"１年間の総採用者数（１企業当たり）_製造業","人","","","","","","","","","","","","","","","","","","","","","","0.16","0.24","0.31","0.27","0.27","0.23","0.45","0.32","0.27","0.17","0.11","0.22","0.13","0.12","2.0"
"１年間の総採用者数（１企業当たり）_卸売・小売業","人","","","","","","","","","","","","","","","","","","","","","","0.29","0.37","0.48","0.49","0.32","0.56","0.44","0.43","0.42","0.47","0.27","0.4","0.43","0.19","2.0"
"１年間の総採用者数（１企業当たり）_飲食店、宿泊業","人","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.47","0.41","0.59","0.51","0.71","0.34","0.41","0.32","0.52","0.42","0.5","2.0"
"１年間の総採用者数（１企業当たり）_サービス業","人","","","","","","","","","","","","","","","","","","","","","","0.2","0.21","0.43","0.16","0.24","0.27","0.25","0.17","0.19","0.22","0.12","0.14","0.32","0.11","2.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"１年間の総離職者数（１企業当たり）_製造業","人","","","","","","","","","","","","","","","","","","","","","","0.08","0.13","0.17","0.16","0.13","0.16","0.15","0.2","0.09","0.06","0.07","0.09","0.06","0.07","2.0"
"１年間の総離職者数（１企業当たり）_卸売・小売業","人","","","","","","","","","","","","","","","","","","","","","","0.18","0.26","0.23","0.24","0.19","0.32","0.23","0.24","0.2","0.21","0.15","0.2","0.18","0.13","2.0"
"１年間の総離職者数（１企業当たり）_飲食店、宿泊業","人","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.24","0.15","0.29","0.24","0.45","0.18","0.15","0.12","0.27","0.26","0.3","2.0"
"１年間の総離職者数（１企業当たり）_サービス業","人","","","","","","","","","","","","","","","","","","","","","","0.12","0.05","0.37","0.09","0.16","0.12","0.13","0.09","0.08","0.1","0.13","0.06","0.1","0.05","2.0"
